ID,SiblingsSpousesAboard?,Parents/ChildrenAboard?,firstClass?,secondClass?,thirdClass?,male?,female?,CherbourgEmbark?,QueenstownEmbark?,SouthamtonEmbark?,Fare<10?,10<Fare<20,20<Fare<30,30<Fare<40,40<Fare<50,50<Fare<60,60<Fare<70,70<Fare<80,80<Fare<90,90<Fare<100,Fare>100,Survived
1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
9,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
10,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
12,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
13,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
14,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
17,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
18,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
19,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
21,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
22,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
23,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
24,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
25,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
26,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
27,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
29,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
30,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
31,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
33,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
34,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
35,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
36,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
37,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
38,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
39,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
42,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
43,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
45,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
46,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
47,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
48,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
49,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
51,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
52,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
53,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
54,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
55,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
58,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
60,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
61,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
62,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
64,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
65,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
66,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
67,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
68,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
69,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
70,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
72,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
73,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
74,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
76,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
79,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
80,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
81,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
